SongID,SongTitle,SongPopularity,ArtistA,ArtistAGenres,ArtistAPopularity,ArtistAFollowers,ArtistARelated,ArtistB,AtristBGenres,ArtistBPopularity,ArtistBFollowers,ArtistBRelated
2M9ULmQwTaTGmAdXaXpfz5,Billionaire (feat. Bruno Mars),75,Travie McCoy,"['dance pop', 'pop rap']",66,329862,"['Gym Class Heroes', 'Kevin Rudolf', 'Mike Posner', 'B.o.B', 'Far East Movement', '3OH!3', 'Cobra Starship', 'Iyaz', 'LMFAO', ""K'NAAN"", 'Timbaland', 'Flo Rida', 'Taio Cruz', 'Jason Derulo', 'Tinie Tempah', 'Bruno Mars', 'will.i.am', 'Black Eyed Peas', 'Lupe Fiasco', 'Pitbull']",Bruno Mars,"['dance pop', 'pop']",92,38200074,"['Sean Kingston', 'Jason Derulo', 'Jessie J', 'Ne-Yo', 'Olly Murs', 'Jason Mraz', 'Giveon', 'Charlie Puth', 'Nick Jonas', 'Justin Timberlake', 'Alicia Keys', 'Anderson .Paak', 'Bazzi', 'Miguel', 'Usher', 'ZAYN', 'One Direction', 'Maroon 5', 'The Script', 'Daniel Caesar']"
6ebkx7Q5tTxrCxKq4GYj0Y,Club Can't Handle Me (feat. David Guetta),79,Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",82,8425684,"['Taio Cruz', 'Pitbull', 'Sean Kingston', 'will.i.am', 'B.o.B', 'Far East Movement', 'Jason Derulo', 'LMFAO', 'Madcon', 'Timbaland', 'Iyaz', 'Tinie Tempah', 'Mike Posner', 'The Wanted', 'DJ Antoine', 'Olly Murs', 'Jay Sean', 'Sean Paul', 'R.I.O.', 'Culcha Candela']",David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",90,23871991,"['Calvin Harris', 'R3HAB', 'Avicii', 'Galantis', 'The Chainsmokers', 'Sigala', 'Martin Jensen', 'Tiësto', 'Cheat Codes', 'Jax Jones', 'Alesso', 'Loud Luxury', 'Cash Cash', 'Dimitri Vegas & Like Mike', 'KSHMR', 'DVBBS', 'VINAI', 'Robin Schulz', 'Lucas & Steve', 'Zedd']"
59dLtGBS26x7kc0rHbaPrq,Nothin' on You (feat. Bruno Mars),77,B.o.B,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",76,1942378,"['Young Money', 'T.I.', 'Gym Class Heroes', 'New Boyz', 'Chiddy Bang', 'Lupe Fiasco', 'Mike Posner', 'Sammy Adams', 'Sean Kingston', 'Waka Flocka Flame', 'Kid Ink', 'Bad Meets Evil', 'Hoodie Allen', 'Futuristic', 'Gorilla Zoe', 'Far East Movement', 'Sage The Gemini', 'Kevin Rudolf', 'Iyaz', 'Wiz Khalifa']",Bruno Mars,"['dance pop', 'pop']",92,38200074,"['Sean Kingston', 'Jason Derulo', 'Jessie J', 'Ne-Yo', 'Olly Murs', 'Jason Mraz', 'Giveon', 'Charlie Puth', 'Nick Jonas', 'Justin Timberlake', 'Alicia Keys', 'Anderson .Paak', 'Bazzi', 'Miguel', 'Usher', 'ZAYN', 'One Direction', 'Maroon 5', 'The Script', 'Daniel Caesar']"
5AyL2kgLtTWEu3qO3B9SqK,Like A G6,77,Far East Movement,"['asian american hip hop', 'dance pop', 'edm', 'pop rap']",70,1085209,"['Kevin Rudolf', 'LMFAO', 'The Cataracs', 'will.i.am', 'Havana Brown', 'Taio Cruz', 'DEV', 'Gym Class Heroes', 'Iyaz', 'Jay Sean', 'New Boyz', 'Travie McCoy', 'Sean Kingston', 'Mike Posner', 'Kat Deluna', 'Timbaland', '3OH!3', 'Tinie Tempah', 'Fergie', 'Flo Rida']",The Cataracs,[],65,105177,"['The Pack', 'Far East Movement', 'Hyper Crush', 'DEV', 'New Boyz', 'The Midi Mafia', 'Dirt Nasty', 'Neon Hitch', 'Kevin Rudolf', 'Starting Six', '3OH!3', 'Shwayze', 'Bobby Brackins', 'Karmin', 'Havana Brown', 'Outasight', 'LMFAO', 'Sammy Adams', 'Kreayshawn', 'Wynter Gordon']"
5AyL2kgLtTWEu3qO3B9SqK,Like A G6,77,Far East Movement,"['asian american hip hop', 'dance pop', 'edm', 'pop rap']",70,1085209,"['Kevin Rudolf', 'LMFAO', 'The Cataracs', 'will.i.am', 'Havana Brown', 'Taio Cruz', 'DEV', 'Gym Class Heroes', 'Iyaz', 'Jay Sean', 'New Boyz', 'Travie McCoy', 'Sean Kingston', 'Mike Posner', 'Kat Deluna', 'Timbaland', '3OH!3', 'Tinie Tempah', 'Fergie', 'Flo Rida']",DEV,"['dance pop', 'electropop']",66,254126,"['Far East Movement', 'Neon Hitch', 'The Cataracs', 'Havana Brown', 'Karmin', 'Nicole Scherzinger', 'Wynter Gordon', 'Hyper Crush', 'Kat Deluna', 'Paris Hilton', 'Cher Lloyd', 'Alexandra Stan', 'Kerli', 'Natalia Kills', 'Lindsay Lohan', 'Jeffree Star', 'Kreayshawn', 'Girlicious', 'New Boyz', 'Heidi Montag']"
5AyL2kgLtTWEu3qO3B9SqK,Like A G6,77,The Cataracs,[],65,105177,"['The Pack', 'Far East Movement', 'Hyper Crush', 'DEV', 'New Boyz', 'The Midi Mafia', 'Dirt Nasty', 'Neon Hitch', 'Kevin Rudolf', 'Starting Six', '3OH!3', 'Shwayze', 'Bobby Brackins', 'Karmin', 'Havana Brown', 'Outasight', 'LMFAO', 'Sammy Adams', 'Kreayshawn', 'Wynter Gordon']",DEV,"['dance pop', 'electropop']",66,254126,"['Far East Movement', 'Neon Hitch', 'The Cataracs', 'Havana Brown', 'Karmin', 'Nicole Scherzinger', 'Wynter Gordon', 'Hyper Crush', 'Kat Deluna', 'Paris Hilton', 'Cher Lloyd', 'Alexandra Stan', 'Kerli', 'Natalia Kills', 'Lindsay Lohan', 'Jeffree Star', 'Kreayshawn', 'Girlicious', 'New Boyz', 'Heidi Montag']"
1bM50INir8voAkVoKuvEUI,OMG (feat. will.i.am),76,Usher,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",83,9462571,"['Mario', 'Jagged Edge', 'Trey Songz', 'Ginuwine', 'Pretty Ricky', 'Keyshia Cole', 'Omarion', '112', 'Bow Wow', 'Ne-Yo', 'Tyrese', 'Joe', 'Monica', 'The-Dream', 'Ciara', 'Avant', 'Ashanti', 'Brandy', 'Dru Hill', 'Donell Jones']",will.i.am,"['dance pop', 'pop', 'pop rap']",77,3689496,"['Far East Movement', 'Taio Cruz', 'Nicole Scherzinger', 'Timbaland', 'LMFAO', 'Fergie', 'Madcon', 'Tinie Tempah', 'Flo Rida', 'Cheryl', 'The Saturdays', 'Sean Kingston', 'The Pussycat Dolls', 'Martin Solveig', 'Iggy Azalea', 'The Wanted', 'Kat Deluna', 'Pharrell Williams', 'Black Eyed Peas', 'Icona Pop']"
5FTCKvxzqy72ceS4Ujux4N,What's My Name?,70,Rihanna,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",92,47262962,"['Nicki Minaj', 'Beyoncé', 'Jennifer Lopez', 'The Pussycat Dolls', 'Kesha', 'Justin Timberlake', 'Fergie', 'Demi Lovato', 'Jessie J', 'Nelly Furtado', 'Miley Cyrus', ""Destiny's Child"", 'Iggy Azalea', 'Britney Spears', 'Ciara', 'Gwen Stefani', 'Cardi B', 'Tinashe', 'JoJo', 'Christina Aguilera']",Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,61138956,"['Big Sean', 'J. Cole', 'Meek Mill', 'Wale', 'Rick Ross', 'DJ Khaled', 'PARTYNEXTDOOR', '2 Chainz', 'Tory Lanez', 'Young Thug', 'Jeremih', 'Bryson Tiller', 'Future', 'French Montana', 'Migos', 'Metro Boomin', 'NAV', 'Kendrick Lamar', 'Lil Wayne', 'Ty Dolla $ign']"
7yws3pF3FFguwT2Psi6c15,Do You Remember,3,Jay Sean,"['dance pop', 'pop rap', 'post-teen pop', 'urban contemporary']",70,1495305,"[""Colby O'Donis"", 'Iyaz', 'Karl Wolf', 'Massari', 'Mumzy Stranger', 'Sean Kingston', 'Mario', 'Stevie Hoang', 'Shontelle', 'Frankie J', 'Taio Cruz', 'Craig David', 'Raghav', 'Faydee', 'Jordin Sparks', 'Ne-Yo', 'Omarion', 'Keri Hilson', 'Pleasure P', 'Far East Movement']",Sean Paul,"['dance pop', 'dancehall', 'pop', 'pop rap']",84,3767879,"['Mr. Vegas', 'Beenie Man', 'Elephant Man', 'Gyptian', 'Shaggy', 'Konshens', 'Demarco', 'Busy Signal', 'Spice', 'Mavado', 'Charly Black', 'Vybz Kartel', 'Wayne Wonder', 'Taio Cruz', 'T.O.K', 'Timbaland', 'Buju Banton', 'Eve', 'will.i.am', 'Fuse ODG']"
7yws3pF3FFguwT2Psi6c15,Do You Remember,3,Jay Sean,"['dance pop', 'pop rap', 'post-teen pop', 'urban contemporary']",70,1495305,"[""Colby O'Donis"", 'Iyaz', 'Karl Wolf', 'Massari', 'Mumzy Stranger', 'Sean Kingston', 'Mario', 'Stevie Hoang', 'Shontelle', 'Frankie J', 'Taio Cruz', 'Craig David', 'Raghav', 'Faydee', 'Jordin Sparks', 'Ne-Yo', 'Omarion', 'Keri Hilson', 'Pleasure P', 'Far East Movement']",Lil Jon,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'old school atlanta hip hop', 'pop rap', 'southern hip hop']",76,1251049,"['Ying Yang Twins', 'Lil Jon & The East Side Boyz', 'Youngbloodz', 'Dem Franchize Boyz', 'David Banner', 'Yung Joc', 'Lil Scrappy', 'Petey Pablo', 'Trick Daddy', 'MiMS', 'Trillville', 'Shop Boyz', 'Gorilla Zoe', 'Crime Mob', 'Bubba Sparxxx', 'Big Tymers', 'Chamillionaire', 'Mike Jones', 'Chingy', 'D4L']"
7yws3pF3FFguwT2Psi6c15,Do You Remember,3,Sean Paul,"['dance pop', 'dancehall', 'pop', 'pop rap']",84,3767879,"['Mr. Vegas', 'Beenie Man', 'Elephant Man', 'Gyptian', 'Shaggy', 'Konshens', 'Demarco', 'Busy Signal', 'Spice', 'Mavado', 'Charly Black', 'Vybz Kartel', 'Wayne Wonder', 'Taio Cruz', 'T.O.K', 'Timbaland', 'Buju Banton', 'Eve', 'will.i.am', 'Fuse ODG']",Lil Jon,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'old school atlanta hip hop', 'pop rap', 'southern hip hop']",76,1251049,"['Ying Yang Twins', 'Lil Jon & The East Side Boyz', 'Youngbloodz', 'Dem Franchize Boyz', 'David Banner', 'Yung Joc', 'Lil Scrappy', 'Petey Pablo', 'Trick Daddy', 'MiMS', 'Trillville', 'Shop Boyz', 'Gorilla Zoe', 'Crime Mob', 'Bubba Sparxxx', 'Big Tymers', 'Chamillionaire', 'Mike Jones', 'Chingy', 'D4L']"
